Date,fatigue,mood,readiness,sleep_duration_h,sleep_quality,soreness,stress,steps,calories,moderately_active_minutes,very_active_minutes,overall_score,deep_sleep_in_minutes,restlessness,sleep_3d_avg,sleep_7d_avg,sleep_score_yesterday,steps_yesterday,steps_3d_avg,fatigue_yesterday,fatigue_3d_avg,stress_yesterday,mood_class
2020-01-07,3.0,3.0,5.0,6.0,2.0,2.0,3.0,8090.0,2513.0,3,12,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,15374.0,12777.666666666666,3.0,3.0,3.0,Neutral
2020-01-08,4.0,3.0,6.0,6.0,3.0,2.0,3.0,12800.0,2947.13,24,37,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,8090.0,12088.0,3.0,3.3333333333333335,3.0,Neutral
2020-01-09,3.0,3.0,5.0,6.0,4.0,3.0,3.0,7478.0,2517.6,14,21,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,12800.0,9456.0,4.0,3.3333333333333335,3.0,Neutral
2020-01-10,3.0,3.0,6.0,6.0,3.0,3.0,3.0,15846.0,3542.95,33,85,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7478.0,12041.333333333334,3.0,3.3333333333333335,3.0,Neutral
2020-01-11,3.0,3.0,6.0,7.0,3.0,3.0,3.0,7741.0,2492.2599999999998,17,21,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,15846.0,10355.0,3.0,3.0,3.0,Neutral
2020-01-12,4.0,3.0,7.0,7.0,4.0,3.0,3.0,20237.0,3666.89,67,64,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7741.0,14608.0,3.0,3.3333333333333335,3.0,Neutral
2020-01-13,4.0,3.0,8.0,6.0,3.0,3.0,3.0,13283.0,3137.12,27,60,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,20237.0,13753.666666666666,4.0,3.6666666666666665,3.0,Neutral
2020-01-14,3.0,3.0,5.0,5.0,2.0,3.0,3.0,7560.0,2452.19,20,17,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,13283.0,13693.333333333334,4.0,3.6666666666666665,3.0,Neutral
2020-01-15,2.0,3.0,6.0,5.0,2.0,2.0,3.0,10759.0,2903.19,21,33,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7560.0,10534.0,3.0,3.0,3.0,Neutral
2020-01-16,4.0,3.0,4.0,8.0,4.0,3.0,3.0,11032.0,2708.35,18,36,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,10759.0,9783.666666666666,2.0,3.0,3.0,Neutral
2020-01-17,3.0,3.0,7.0,8.0,3.0,3.0,3.0,14791.0,3035.2,34,58,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11032.0,12194.0,4.0,3.0,3.0,Neutral
2020-01-18,3.0,3.0,6.0,7.0,3.0,3.0,3.0,23737.0,3587.79,73,94,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14791.0,16520.0,3.0,3.3333333333333335,3.0,Neutral
2020-01-19,3.0,3.0,6.0,7.0,3.0,3.0,3.0,22837.0,3602.36,59,111,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,23737.0,20455.0,3.0,3.0,3.0,Neutral
2020-01-21,4.0,3.0,6.0,7.0,3.0,3.0,3.0,7475.0,2623.5299999999997,4,8,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,22837.0,18016.333333333332,3.0,3.3333333333333335,3.0,Neutral
2020-01-22,3.0,3.0,6.0,7.0,3.0,3.0,3.0,12593.0,3124.49,26,24,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7475.0,14301.666666666666,4.0,3.3333333333333335,3.0,Neutral
2020-01-23,2.0,3.0,5.0,5.0,2.0,3.0,3.0,10007.0,2742.62,6,11,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,12593.0,10025.0,3.0,3.0,3.0,Neutral
2020-01-24,2.0,3.0,2.0,6.0,2.0,3.0,3.0,5920.0,2345.48,13,19,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,10007.0,9506.666666666666,2.0,2.3333333333333335,3.0,Neutral
2020-01-27,3.0,3.0,6.0,6.0,3.0,3.0,3.0,13850.0,3120.34,32,76,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,5920.0,9925.666666666666,2.0,2.3333333333333335,3.0,Neutral
2020-01-28,3.0,3.0,7.0,6.0,3.0,2.0,3.0,12027.0,2888.55,16,41,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,13850.0,10599.0,3.0,2.6666666666666665,3.0,Neutral
2020-01-31,3.0,3.0,5.0,6.0,2.0,3.0,3.0,10515.0,2959.18,25,32,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,12027.0,12130.666666666666,3.0,3.0,3.0,Neutral
2020-02-01,3.0,3.0,6.0,6.0,3.0,3.0,3.0,10258.0,2868.64,30,11,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,10515.0,10933.333333333334,3.0,3.0,3.0,Neutral
2020-02-02,4.0,4.0,7.0,8.0,4.0,4.0,4.0,15384.0,3433.16,69,46,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,10258.0,12052.333333333334,3.0,3.3333333333333335,3.0,Neutral
2020-02-03,2.0,3.0,6.0,5.0,2.0,2.0,2.0,7918.0,2664.74,27,24,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,15384.0,11186.666666666666,4.0,3.0,4.0,Neutral
2020-02-05,2.0,3.0,8.0,6.0,3.0,3.0,3.0,17918.0,3617.08,28,68,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7918.0,13740.0,2.0,2.6666666666666665,2.0,Neutral
2020-02-06,3.0,3.0,6.0,6.0,3.0,2.0,3.0,7912.0,2597.91,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,17918.0,11249.333333333334,2.0,2.3333333333333335,3.0,Neutral
2020-02-07,3.0,3.0,7.0,6.0,3.0,3.0,3.0,17338.0,3321.29,26,52,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,7912.0,14389.333333333334,3.0,2.6666666666666665,3.0,Neutral
2020-02-09,3.0,3.0,7.0,7.0,3.0,2.0,3.0,6861.0,2649.87,18,9,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,17338.0,10703.666666666666,3.0,3.0,3.0,Neutral
2020-02-10,4.0,3.0,8.0,7.0,4.0,2.0,3.0,11512.0,2966.06,15,56,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,6861.0,11903.666666666666,3.0,3.3333333333333335,3.0,Neutral
2020-02-12,3.0,3.0,7.0,6.0,3.0,3.0,3.0,13878.0,3281.5499999999997,35,48,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11512.0,10750.333333333334,4.0,3.3333333333333335,3.0,Neutral
2020-02-13,2.0,3.0,5.0,6.0,3.0,3.0,3.0,9259.0,2780.86,25,16,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,13878.0,11549.666666666666,3.0,3.0,3.0,Neutral
2020-02-14,2.0,3.0,7.0,5.0,2.0,3.0,3.0,11761.0,3047.0099999999998,22,47,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,9259.0,11632.666666666666,2.0,2.3333333333333335,3.0,Neutral
2020-02-15,4.0,5.0,6.0,6.0,3.0,2.0,4.0,9388.0,2857.0099999999998,23,5,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,11761.0,10136.0,2.0,2.6666666666666665,3.0,High
2020-02-16,4.0,4.0,8.0,7.0,4.0,3.0,4.0,9024.0,2871.34,32,42,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,9388.0,10057.666666666666,4.0,3.3333333333333335,4.0,Neutral
2020-02-19,4.0,3.0,7.0,7.0,4.0,2.0,3.0,16893.0,3261.74,29,54,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,9024.0,11768.333333333334,4.0,4.0,4.0,Neutral
2020-02-21,4.0,3.0,5.0,6.0,4.0,2.0,3.0,8664.0,2642.67,12,20,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,16893.0,11527.0,4.0,4.0,3.0,Neutral
2020-02-23,2.0,3.0,3.0,5.0,2.0,2.0,3.0,17145.0,3024.2799999999997,39,64,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,8664.0,14234.0,4.0,3.3333333333333335,3.0,Neutral
2020-02-24,2.0,3.0,3.0,6.0,3.0,2.0,3.0,5835.0,2404.5299999999997,5,2,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,17145.0,10548.0,2.0,2.6666666666666665,3.0,Neutral
2020-02-27,2.0,3.0,4.0,6.0,3.0,3.0,3.0,9274.0,2660.87,2,15,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,5835.0,10751.333333333334,2.0,2.0,3.0,Neutral
2020-02-28,2.0,3.0,3.0,6.0,3.0,2.0,3.0,14767.0,3026.7,35,54,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,9274.0,9958.666666666666,2.0,2.0,3.0,Neutral
2020-03-02,2.0,3.0,4.0,6.0,3.0,2.0,3.0,10825.0,3012.12,23,21,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14767.0,11622.0,2.0,2.0,3.0,Neutral
2020-03-04,2.0,3.0,3.0,3.0,1.0,3.0,3.0,4225.0,2222.38,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,10825.0,9939.0,2.0,2.0,3.0,Neutral
2020-03-09,3.0,3.0,7.0,6.0,2.0,3.0,3.0,14350.0,3143.75,45,60,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,4225.0,9800.0,2.0,2.3333333333333335,3.0,Neutral
2020-03-17,2.0,3.0,1.0,6.0,4.0,2.0,3.0,14350.0,1684.8,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14350.0,10975.0,3.0,2.3333333333333335,3.0,Neutral
2020-03-19,2.0,3.0,0.0,7.0,3.0,2.0,3.0,14350.0,1684.8,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14350.0,14350.0,2.0,2.3333333333333335,3.0,Neutral
2020-03-21,2.0,3.0,0.0,7.0,3.0,2.0,3.0,14350.0,1684.8,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14350.0,14350.0,2.0,2.0,3.0,Neutral
2020-03-22,2.0,3.0,0.0,7.0,3.0,2.0,3.0,0.0,1685.04,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,14350.0,9566.666666666666,2.0,2.0,3.0,Neutral
2020-03-25,2.0,3.0,3.0,7.0,2.0,2.0,3.0,0.0,1684.8,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,0.0,4783.333333333333,2.0,2.0,3.0,Neutral
2020-03-27,3.0,3.0,5.0,7.0,3.0,2.0,3.0,0.0,1684.8,0,0,85.0,107.0,0.0510887772194304,85.0,85.0,85.0,0.0,0.0,2.0,2.3333333333333335,3.0,Neutral
